華語,台語漢字,臺羅
鈍齒鐵角蕨,單條脈鐵角蕨,Tuann-ti?u-me?h-thih-kak-kueh
薄葉鐵角蕨,阿里山鐵角蕨,A-l?-san-thih-kak-kueh
薄葉鐵角蕨,鐵角蕨,Thih-kak-kueh
鐵角蕨,小蕨草,Si?-kueh-tsh?u
鐵角蕨,鐵角鳳尾草,Thih-kak-h?ng-bu?-tsh?u
鐵角蕨,鐵角蕨,Thih-kak-kueh
單邊鐵角蕨,單邊虎尾蕨,Tuann-pinn-h?o-bu?-kueh
單邊鐵角蕨,鳳尾蕨,H?ng-bu?-kueh
小葉鐵角蕨,細葉虎尾蕨,S?-hio?h-h?o-bu?-kueh
綠柄鐵角蕨,鐵角蕨,Thih-kak-kueh
蘭嶼鐵角蕨,松林氏鐵角蕨,Si?ng-l?m-s?-thih-kak-kueh
蘭嶼鐵角蕨,鐵角蕨,Thih-kak-kueh
威氏鐵角蕨,台灣鐵角蕨,T?i-u?n-thih-kak-kueh
威氏鐵角蕨,玉山鐵角蕨,Gio?k-suann-thih-kak-kueh
威氏鐵角蕨,短葉鐵角蕨,T?-hio?h-thih-kak-kueh
萊氏鐵角蕨,車蕨,Tshia-kueh
萊氏鐵角蕨,鐵角蕨,Thih-kak-kueh
蘇鐵,辟火樹,Phiah-hu?-tsh?u
蘇鐵,鐵樹,Thih-tsh?u
台灣蘇鐵,海鐵雞,H?i-thih-ke
銀杏,公果樹,Kang-k?-tsh?u
銀杏,白果,Pe?h-k?
銀杏,鴨跤子,Ah-kha-ts?
台灣紅豆杉,紅杉,?ng-sam
台灣紅豆杉,紅豆杉,?ng-t?u-sam
台灣紅豆杉,紫杉,Ts?-sam
百日青,山相思,Suann-siunn-si
百日青,土杉,Th?o-sam
肯氏南洋杉,南洋杉,L?m-?unn-sam
小葉南洋杉,南洋杉,L?m-?unn-sam
台灣冷杉,白松柏,Pe?h-tsh?ng-peh
台灣冷杉,杜,T?o
雪松,香柏,Hiong-peh
台灣油杉,牛尾杉,G?-bu?-sam
台灣油杉,油杉,?u-sam
台灣油杉,桂杉,Ku?-sam
台灣油杉,鐵杉,Thih-sam
台灣雲杉,白松柏,Pe?h-tsh?ng-peh
台灣雲杉,松羅杜,Si?ng-l?-t?o
台灣華山松,白杉,Pe?h-sam
台灣華山松,松柏,Tsh?ng-peh
台灣華山松,紅松柏,?ng-tsh?ng-peh
溼地松,美松,B?-si?ng
馬尾松,松柏,Tsh?ng-peh
馬尾松,松羅,Si?ng-l?
台灣五葉松,松柏,Tsh?ng-peh
台灣五葉松,松柏仔,Tsh?ng-peh-?
台灣五葉松,松樹,Tsh?ng-tsh?u
台灣五葉松,短毛松,T?-m?o-si?ng
台灣二葉松,松柏,Tsh?ng-peh
台灣二葉松,松羅,Si?ng-l?
台灣黃杉,松柏,Tsh?ng-peh
台灣黃杉,台灣黃杉,T?i-u?n-n?g-sam
台灣鐵杉,油杉,?u-sam
台灣鐵杉,鐵杉,Thih-sam
柳杉,大杉,Tu?-sam
柳杉,孔雀杉,Kh?ng-tshiok-sam
柳杉,桫欏樹,So-l?-tsh?u
柳杉,杉,Sam
柳杉,溫杉,Un-sam
柳杉,寶樹,P?-tsh?u
巒大杉,香杉,Hiunn-sam
巒大杉,烏杉,Oo-sam
杉木,沙木,Sua-ba?k
杉木,青心,Tshenn-sim
杉木,無油杉,B?-?u-sam
杉木,福州杉,Hok-tsiu-sam
台灣杉,松羅,Si?ng-l?
落羽松,美國水松,B?-kok-tsu?-si?ng
台灣肖楠,肖楠,Siau-l?m
台灣肖楠,肖楠柏,Siau-l?m-peh
台灣肖楠,肖榔木,Siau-l?ng-ba?k
台灣肖楠,黃肉樹,N?g-bah-tsh?u
台灣肖楠,黃肉仔,N?g-bah-?
紅檜,松梧,Si?ng-ng?o
紅檜,松羅,Si?ng-l?
台灣扁柏,松梧,Si?ng-ng?o
台灣扁柏,松羅,Si?ng-l?
台灣扁柏,黃檜,N?g-ku?
台灣扁柏,厚殼,K?u-khak
日本扁柏,扁柏,P?nn-peh
日本扁柏,檜,Ku?
日本扁柏,薄皮,Po?h-phu?
龍柏,日本柏,Ji?t-p?n-peh
龍柏,龍抱珠,Li?ng-ph?-tsu
龍柏,圓柏,?nn-peh
塔柏,圓柏,?nn-peh
清水圓柏,刺松,Tsh?-si?ng
清水圓柏,偃柏,I?n-peh
清水圓柏,圓柏,?nn-peh
玉山圓柏,山柏,Suann-peh
玉山圓柏,香杉,Hiunn-sam
玉山圓柏,柏槙,Peh-tian
玉山圓柏,高山柏,Ko-suann-peh
玉山圓柏,圓柏,?nn-peh
洋玉蘭,泰山木,Th?i-san-ba?k
洋玉蘭,荷花玉蘭,H?-hue-gio?k-l?n
烏心石舅,台東玉蘭,T?i-tang-gio?k-l?n
烏心石舅,恆春玉蘭,H?ng-tshun-gio?k-l?n
烏心石舅,恆春厚朴,H?ng-tshun-k?u-phok
黃玉蘭,金厚朴,Kim-k?u-phok
黃玉蘭,旃簸迦,Tsian-p?-ka
黃玉蘭,黃蘭含笑,N?g-l?n-h?m-si?u
黃玉蘭,金玉蘭,Kim-gi?k-l?n
烏心石,烏楴,Oo-th?
烏心石,烏知,Oo-ti
烏心石,烏虎,Oo-h?o
烏心石,烏提,Oo-th?
烏心石,烏心石,Oo-sim-tsio?h
含笑花,含笑,H?m-si?u
含笑花,含笑梅,H?m-si?u-mu?
紅花八角,八角,Peh-kak
紅花八角,八角仔,Peh-kak-?
紅花八角,紅八角,?ng-peh-kak
白花八角,八角,Peh-kak
白花八角,碗龍樹,U?nn-l?ng-tsh?u
南五味子,內風消,L?i-hong-siau
南五味子,紅骨蛇,?ng-kut-tsu?
南五味子,美男葛,B?-l?m-kuah
昆欄樹,山車,Suann-tshia
昆欄樹,山豬肉,Suann-ti-bah
昆欄樹,水柯,Tsu?-kho
昆欄樹,水柯仔,Tsu?-kho-?
昆欄樹,油楝,?u-l?ng
昆欄樹,雲葉,H?n-hio?h
番荔枝,佛頭果,Hu?t-th?u-k?
番荔枝,芳梨,Phang-l?i
番荔枝,番梨,Huan-l?i
番荔枝,釋迦,Sik-kia
鷹爪花,油蘭,?u-l?n
鷹爪花,香花,Hiong-hua
鷹爪花,雞爪蘭,Ke-ji?u-l?n
鷹爪花,鷹爪蘭,Ing-ji?u-l?n
鷹爪花,鷹爪桃,Ing-ji?u-th?
瓜馥木,山龍眼,Suann-l?ng-g?ng
瓜馥木,藤龍眼,T?n-l?ng-g?ng
瓊楠,九芎柯,K?u-kiong-kho
瓊楠,木耳樹,Bo?k-n?-tsh?u
瓊楠,番仔灣,Huan-?-uan
瓊楠,落殼欑,Lak-khak-tsan
瓊楠,雞眉,Ke-b?i
無根草,藤仔,T?n-?
樟樹,本樟,P?n-tsiunn
樟樹,芳樟,Phang-tsiunn
樟樹,樟,Tsiunn
樟樹,樟仔,Tsiunn-?
山肉桂,肉桂,Jio?k-ku?
山肉桂,阿里參,A-l?-sim
山肉桂,桂枝,Ku?-ki
日本香桂,土肉桂,Th?o-jio?k-ku?
日本香桂,天竺桂,Thian-tiok-ku?
牛樟,樟牛,Tsiunn-g?
牛樟,樟舅,Tsiunn-k?
牛樟,冇樟,Ph?nn-tsiunn
土肉桂,山肉桂,Suann-jio?k-ku?
土肉桂,肉桂,Jio?k-ku?
土肉桂,假肉桂,K?-jio?k-ku?
香桂,九芎,K?u-kiong
土樟,香桂,Hiunn-ku?
腰果楠,攀桂,Phan-ku?
腰果楠,冇桂,Ph?nn-ku?
內苳子,刺仔樹,Tsh?-?-tsh?u
香葉樹,??桂,T?ng-ku?
天臺烏藥,百葉柴,Pik-ia?p-tsh?
天臺烏藥,香桂梓,Hiunn-ku?-ts?
天臺烏藥,天台烏藥,Thian-t?i-oo-io?h
天臺烏藥,烏藥,Oo-io?h
脈葉釣樟,鐵釘樹,Thih-ting-tsh?u
長葉木薑子,竹葉楠,Tik-hio?h-l?m
長葉木薑子,臭屎楠,Tsh?u-s?i-l?m
長葉木薑子,細葉楠,S?-hio?h-l?m
銳脈木薑子,竹葉楠,Tik-hio?h-l?m
銳脈木薑子,虎皮楠,H?o-phu?-l?m
銳脈木薑子,金楠,Kim-l?m
銳脈木薑子,南投楠,L?m-t?u-l?m
山胡椒,山雞椒,Suann-ke-tsiau
山胡椒,芳樟,Phang-tsiunn
霧社木薑子,金楠,Kim-l?m
圓葉木薑子,白背木薑子,Pe?h-pu?-bo?k-kiunn-ts?
圓葉木薑子,白背黃肉楠,Pe?h-pu?-n?g-bah-l?m
圓葉木薑子,裡白黃肉楠,L?-pe?h-n?g-bah-l?m
小西氏楠,台灣賽楠,T?i-u?n-s?i-l?m
大葉楠,楠仔,L?m-?
大葉楠,大葉楠,Tu?-hio?h-l?m
倒卵葉楠,恆春楨楠,H?ng-tshun-tsing-l?m
倒卵葉楠,青龍珠,Tshenn-l?ng-tsu
倒卵葉楠,龍珠樹,Li?ng-tsu-tsh?u
紅楠,阿里山楠,A-l?-san-l?m
紅楠,南庄楨楠,L?m-tsng-tsing-l?m
紅楠,臭屎楠,Tsh?u-s?i-l?m
紅楠,烏楠,Oo-l?m
紅楠,鼻屎楠,Ph?nn-s?i-l?m
紅楠,豬跤楠,Ti-kha-l?m
紅楠,蘭嶼豬跤楠,L?n-s?-ti-kha-l?m
香楠,香楠玄,Hiunn-l?m-hi?n
香楠,臭屎楠,Tsh?u-s?i-l?m
香楠,細葉楠,S?-hio?h-l?m
香楠,瑞芳楠,Su?-hong-l?m
香楠,落屎楠,L?u-s?i-l?m
銳業新木薑子,五爪楠,G?o-ji?u-l?m
銳業新木薑子,油葉楠,?u-hio?h-l?m
銳業新木薑子,香桂,Hiunn-ku?
五掌楠,五掌楠仔,G?o-tsi?ng-l?m-?
五掌楠,五葉楠,G?o-hio?h-l?m
五掌楠,竹葉楠,Tik-hio?h-l?m
新木薑子,香楠,Hiunn-l?m
台灣雅楠,內冬子楠,L?i-tang-ts?-l?m
台灣雅楠,內炭子楠,L?i-thu?nn-ts?-l?m
台灣雅楠,內凍子楠,L?i-t?ng-ts?-l?m
台灣雅楠,火炭楠,Hu?-thu?nn-l?m
台灣雅楠,石楠,Tsio?h-l?m
台灣雅楠,楠仔,L?m-?
台灣�挩�,台灣?木,T?i-u?n-tshat-bo?k
蓮葉桐,蠟樹,La?h-tsh?u
呂宋青藤,嚓猴花,Tshia?k-k?u-hue
蘭嶼肉豆蔻,卞實肉豆蔻,Pi?n-si?t-jio?k-t?u-kh?o
蘭嶼肉豆蔻,台灣肉豆蔻,T?i-u?n-jio?k-t?u-kh?o
蘭嶼肉豆蔻,卵果肉豆蔻,Nn?g-k?-jio?k-t?u-kh?o
菲律賓肉豆蔻,球果肉豆蔻,K?u-k?-jio?k-t?u-kh?o
菲律賓肉豆蔻,圓實肉豆蔻,?nn-si?t-jio?k-t?u-kh?o
第倫桃,假枇杷,K?-p?-p?
紅葉藤,紅肉藤,?ng-bah-t?n
台灣馬桑,馬桑,B?-song
龍牙草,牛尾草,G?-bu?-tsh?u
龍牙草,金鬢桃,Kim-p?n-th?
龍牙草,黃龍牙,N?g-l?ng-g?
龍牙草,黃龍尾,N?g-l?ng-bu?
台灣舖地蜈蚣,高山鐵樹,Ko-suann-thih-tsh?u
台灣舖地蜈蚣,玉山覆地蜈蚣,Gio?k-suann-phak-t?-gi?-kang
玉山舖地蜈蚣,玉山覆地蜈蚣,Gio?k-suann-phak-t?-gi?-kang
台灣蛇莓,蛇抱,Tsu?-ph?
台灣蛇莓,蛇波,Tsu?-pho
台灣蛇莓,蛇婆,Tsu?-p?
台灣蛇莓,地莓,T?-m?
台灣蛇莓,龍吐珠,L?ng-th?o-tsu
蛇莓,蛇抱,Tsu?-ph?
蛇莓,蛇波,Tsu?-pho
蛇莓,蛇婆,Tsu?-p?
蛇莓,龍吐珠,L?ng-th?o-tsu
山枇杷,山枇杷,Suann-g?-p?
山枇杷,夏梅,H?-bu?
山枇杷,夏糜,H?-bu?
枇杷,枇杷,P?-p?
台灣蚊子草,台灣合葉仔,T?i-u?n-ha?p-hio?h-?
台灣蚊子草,台灣蠓仔草,T?i-u?n-b?ng-?-tsh?u
台灣草莓,台灣白草莓,T?i-u?n-pe?h-tsh?u-m?
台灣草莓,台灣草莓,T?i-u?n-tsh?u-m?
台灣蘋果,山仙楂,Suann-sian-tsa
台灣蘋果,澀梨,Siap-l?i
華石楠,台灣荖葉仔樹,T?i-u?n-l?u-hio?h-?-tsh?u
毛瓣石楠,毛瓣石楠,M?o-p?n-tsio?h-l?m
台灣石楠,山牛犅,Suann-g?-k?ng
台灣石楠,夏梅,H?-bu?
小葉石楠,石楠,Tsio?h-l?m
小葉石楠,毛石楠,M?o-tsio?h-l?m
石楠,千年紅,Tshing-n?-?ng
石楠,水紅樹,Tsu?-?ng-tsh?u
台東石楠,萬兩石楠,B?n-n?u-tsio?h-l?m
台東石楠,樹杞葉石楠,Tsh?u-k?-hio?h-tsio?h-l?m
委陵菜,生血丹,Sinn-hueh-tan
委陵菜,覆地虎,Phak-t?-h?o
委陵菜,委陵菜,U?-l?ng-tsh?i
翻白草,翻白草,Huan-pe?h-tsh?u
玉山金梅,玉山金梅,Gio?k-suann-kim-mu?
高山翻白草,翻白草,Huan-pe?h-tsh?u
高山翻白草,高山翻白草,Ko-suann-huan-pe?h-tsh?u
日本翻白草,翻白草,Huan-pe?h-tsh?u
日本翻白草,日本翻白草,Ji?t-p?n-huan-pe?h-tsh?u
雪山翻白草,翻白草,Huan-pe?h-tsh?u
雪山翻白草,雪山翻白草,Suat-suann-huan-pe?h-tsh?u
假皂莢,扁核木,P?nn-hi?k-ba?k
假皂莢,藤本扁核木,T?n-p?n-p?nn-hi?k-ba?k
假皂莢,梅花刺,Mu?-hue-tsh?
假皂莢,青刺尖,Tshenn-tsh?-tsiam
山櫻花,福建山櫻花,Hok-ki?n-suann-ing-hue
山櫻花,山櫻花,Suann-ing-hue
黃土樹,黃塗樹,N?g-th?o-tsh?u
太平山櫻花,太平山櫻花,Th?i-p?ng-suann-ing-hue
太平山櫻花,太平山白櫻花,Th?i-p?ng-suann-pe?h-ing-hue
台灣梅,梅,Mu?
台灣梅,白梅,Pe?h-mu?
台灣梅,梅仔樹,Mu?-?-tsh?u
桃,山苦桃,Suann-kh?o-th?
桃,毛桃,M?o-th?
桃,白桃,Pe?h-th?
桃,紅桃,?ng-th?
桃,苦桃,Kh?o-th?
桃,桃仁,Th?-j?n
桃,桃仔,Th?-?
桃,桃仔樹,Th?-?-tsh?u
桃,甜桃,Tinn-th?
黑星櫻,桃仁,Th?-j?n
李,李仔,L?-?
霧社山櫻花,霧社山櫻花,B?-si?-suann-ing-hue
霧社山櫻花,山櫻花,Suann-ing-hue
阿里山櫻花,阿里山櫻花,A-l?-san-ing-hue
阿里山櫻花,山櫻花,Suann-ing-hue
台灣稠李,塔山櫻,Thah-suann-ing
日本山櫻,日本山櫻,Ji?t-p?n-suann-ing
日本山櫻,江上櫻,Kang-si?ng-ing
台灣火刺木,台灣火刺木,T?i-u?n-hu?-tshiah-bo?k
台灣火刺木,台東火刺木,T?i-tang-hu?-tshiah-bo?k
台灣火刺木,狀元紅,Tsi?ng-gu?n-h?ng
台灣火刺木,火刺木,Hu?-tshiah-bo?k
台灣野梨,山梨,Suann-l?i
台灣野梨,山梨樹,Suann-l?i-tsh?u
石斑木,白杏花,Pe?h-h?ng-hue
石斑木,春花,Tshun-hue
石斑木,雷公樹,Lu?-kong-tsh?u
厚葉石斑木,革葉石斑木,Kik-hio?h-tsio?h-pan-bo?k
厚葉石斑木,厚葉石斑木,K?u-hio?h-tsio?h-pan-bo?k
厚葉石斑木,石斑木,Tsio?h-pan-bo?k
琉球野薔薇,苞薔薇,B?o-tsh?unn-b?
琉球野薔薇,琉球野薔薇,L?u-k?u-i?-tsh?unn-b?
金櫻子,山石榴,Suann-sia?h-l?u
金櫻子,山雞頭仔,Suann-ke-th?u-?
金櫻子,刺梨仔,Tsh?-l?i-?
金櫻子,大金英,Tu?-kim-ing
光葉薔薇,光葉薔薇,Kng-hio?h-tsh?unn-b?
太魯閣薔薇,能高薔薇,L?ng-ko-tsh?unn-b?
山薔薇,山薔薇,Suann-tsh?unn-b?
玉山野薔薇,玉山野薔薇,Gio?k-suann-i?-tsh?unn-b?
玉山野薔薇,玉山薔薇,Gio?k-suann-tsh?unn-b?
小金櫻,小金花,Si?-kim-hue
小金櫻,白刺仔花,Pe?h-tsh?-?-hue
小金櫻,英仔花,Ing-?-hue
高山薔薇,高山薔薇,Ko-suann-tsh?unn-b?
刺花懸鉤子,刺波,Tsh?-pho
刺花懸鉤子,刺莓,Tsh?-m?
台東懸鉤子,刺莓,Tsh?-m?
台東懸鉤子,刺波,Tsh?-pho
寒莓,地莓,T?-m?
寒莓,刺波,Tsh?-pho
寒莓,刺莓,Tsh?-m?
玉山懸鉤子,刺波,Tsh?-pho
玉山懸鉤子,刺莓,Tsh?-m?
大葉玉山懸鉤子,刺波,Tsh?-pho
大葉玉山懸鉤子,刺莓,Tsh?-m?
台灣懸鉤子,刺波,Tsh?-pho
台灣懸鉤子,刺莓,Tsh?-m?
腺萼懸鉤子,刺波,Tsh?-pho
腺萼懸鉤子,刺莓,Tsh?-m?
腺斑懸鉤子,刺波,Tsh?-pho
腺斑懸鉤子,刺莓,Tsh?-m?
桑葉懸鉤子,刺波,Tsh?-pho
桑葉懸鉤子,刺莓,Tsh?-m?
高梁泡,刺五泡藤,Tsh?-g?o-ph?u-t?n
蘭嶼懸鉤子,刺波,Tsh?-pho
蘭嶼懸鉤子,刺莓,Tsh?-m?
細葉懸鉤子,刺波,Tsh?-pho
細葉懸鉤子,刺莓,Tsh?-m?
粗毛懸鉤子,刺波,Tsh?-pho
粗毛懸鉤子,刺莓,Tsh?-m?
紅梅消,山鹽婆,Suann-i?m-p?
紅梅消,虎莓刺,H?o-m?-tsh?
紅梅消,茅莓,Hm?-m?
紅梅消,草楊梅仔,Tsh?u-?unn-bu?-?
紅梅消,鹽波,I?m-pho
紅梅消,鹽婆,I?m-p?
刺萼寒梅,三叉寒梅,Sann-tshe-h?n-mu?
刺萼寒梅,刺波,Tsh?-pho
刺萼寒梅,刺莓,Tsh?-m?
鬼懸鉤子,刺波,Tsh?-pho
鬼懸鉤子,刺莓,Tsh?-m?
羽萼懸鉤子,刺波,Tsh?-pho
羽萼懸鉤子,刺莓,Tsh?-m?
虎婆刺,刺仔樹,Tsh?-?-tsh?u
虎婆刺,虎莓刺,H?o-m?-tsh?
虎婆刺,刺莓,Tsh?-m?
虎婆刺,刺仔,Tsh?-?
梨葉懸鉤子,刺波,Tsh?-pho
梨葉懸鉤子,刺莓,Tsh?-m?
刺懸鉤子,刺波,Tsh?-pho
刺懸鉤子,刺莓,Tsh?-m?
李棟山懸鉤子,刺波,Tsh?-pho
李棟山懸鉤子,刺莓,Tsh?-m?
變葉懸鉤子,刺波,Tsh?-pho
變葉懸鉤子,刺莓,Tsh?-m?
斯氏懸鉤子,刺波,Tsh?-pho
斯氏懸鉤子,刺莓,Tsh?-m?
刺莓,刺莓,Tsh?-m?
刺莓,虎刺莓,H?o-tsh?-m?
刺莓,虎婆刺,H?o-p?-tsh?
刺莓,虎莓刺,H?o-m?-tsh?
苦懸鉤子,刺波,Tsh?-pho
苦懸鉤子,刺莓,Tsh?-m?
台灣地榆,台灣地榆,T?i-u?n-t?-j?
台灣地榆,長葉地榆,Tn?g-hio?h-t?-j?
台灣地榆,山紅棗,Suann-?ng-ts?
台灣地榆,地榆草,T?-j?-tsh?u
台灣地榆,地榆,T?-j?
榿葉花楸,花楸,Hue-tshiu
巒大花楸,台灣花楸,T?i-u?n-hue-tshiu
巒大花楸,巒大花楸,Lu?n-tu?-hue-tshiu
台灣繡線菊,台灣繡線菊,T?i-u?n-s?u-su?nn-kiok
台灣繡線菊,台灣真珠莓,T?i-u?n-tsin-tsu-m?
台灣繡線菊,假繡線菊,K?-s?u-su?nn-kiok
玉山繡線菊,玉山真珠莓,Gio?k-suann-tsin-tsu-m?
玉山繡線菊,新高山繡線菊,Sin-ko-san-s?u-su?nn-kiok
玉山繡線菊,玉山繡線菊,Gio?k-suann-s?u-su?nn-kiok
笑靨花,真珠花,Tsin-tsu-hue
笑靨花,黃花繡線菊,N?g-hue-s?u-su?nn-kiok
笑靨花,噴雪花,Ph?n-seh-hue
冠蕊木,小米空木,Si?-b?-khang-bo?k
冠蕊木,野珠蘭,I?-tsu-l?n
玉山假沙梨,夏皮楠,H?-phu?-l?m
玉山假沙梨,玉山假沙梨,Gio?k-suann-k?-sua-l?i
雞母珠,紅珠木,?ng-tsu-bo?k
雞母珠,雞母珠,Ke-b?-tsu
雞母珠,雞母真珠,Ke-b?-tsin-tsu
兒茶,阿仙藥,A-sian-io?h
兒茶,孩兒茶,H?i-j?-t?
兒茶,烏爹泥,Oo-tia-n?
兒茶,粉口兒茶,H?n-kh?u-j?-t?
相思樹,相思,Siunn-si
相思樹,相思仔,Siunn-si-?
相思樹,假葉豆,K?-hio?h-t?u
金合歡,羊犅刺,?unn-k?ng-tsh?
金合歡,刺球花,Tsh?-k?u-hue
金合歡,番刺仔,Huan-tsh?-?
金合歡,牛角花,G?-kak-hue
藤相思樹,藤本相思樹,T?n-p?n-siunn-si-tsh?u
藤相思樹,藤相思,T?n-siunn-si
藤相思樹,藤栲,T?n-kh?
黑栲,烏栲皮樹,Oo-kh?-ph?-tsh?u
黑栲,栲皮樹,Kh?-ph?-tsh?u
海紅豆,紅木,?ng-bo?k
海紅豆,紅豆,?ng-t?u
合萌,蝨篦草,Sat-p?n-tsh?u
合萌,合歡,Ha?p-huan
合歡,合昏,Ha?p-hun
合歡,合歡,Ha?p-huan
大葉合歡,大合歡,Tu?-ha?p-huan
黃豆樹,白其春,Pe?h-k?-tshun
黃豆樹,番婆樹,Huan-p?-tsh?u
黃豆樹,黃豆樹,N?g-t?u-tsh?u
煉莢豆,山地豆,Suann-t?-t?u
煉莢豆,塗豆舅,Th?o-t?u-k?
煉莢豆,煉莢豆,Li?n-kiap-t?u
台灣土圞兒,倒吊金鐘,T?-ti?u-kim-tsing
台灣土圞兒,豆芋,T?u-?o
落花生,塗豆,Th?o-t?u
落花生,長生果,Ti?ng-sing-k?
南湖大山黃氏,南湖大山紫雲英,L?m-?o-tu?-suann-ts?-h?n-ing
南湖大山黃氏,紫雲英,Ts?-h?n-ing
能高紫雲英,紫雲英,Ts?-h?n-ing
紫雲英,紅花豆,?ng-hue-t?u
紫雲英,鐵馬豆,Thih-b?-t?u
紫雲英,紫雲英,Ts?-h?n-ing
白花洋紫荊,白花羊蹄甲,Pe?h-hue-?unn-t?-kah
菊花木,花藤,Hue-t?n
菊花木,鉤藤,Kau-t?n
菊花木,龍鬚藤,L?ng-tshiu-t?n
羊蹄甲,紫羊蹄甲,Ts?-?unn-t?-kah
老虎心,鴟鴞刺,B?-hio?h-tsh?
老虎心,貼肉刺,Tah-bah-tsh?
貼肉刺,貼肉刺,Tah-bah-tsh?
貼肉刺,鴟鴞刺,B?-hio?h-tsh?
蘇木,棕木,Tsang-bo?k
蘇木,蘇枋,Soo-pang
木豆,白樹豆,Pe?h-tsh?u-t?u
木豆,花螺樹豆,Hue-l?-tsh?u-t?u
木豆,柳豆,L?u-t?u
木豆,樹豆,Tsh?u-t?u
蔓蟲豆,蟲豆,Th?ng-t?u
紅合歡,朱纓花,Tsu-iann-hue
紅合歡,紅絨球,?ng-ji?ng-k?u
彎龍骨,彎龍骨,Uan-l?ng-kut
刀豆,刀板仁豆,To-p?n-j?n-t?u
刀豆,菜刀豆,Tsh?i-to-t?u
刀豆,關刀豆,Kuan-to-t?u
肥豬豆,肥豬刀,Pu?-ti-to
阿勃勒,阿梨,A-l?
阿勃勒,槐花青,Hu?i-hue-tshenn
毛決明,毛決明,M?o-kuat-b?ng
毛決明,毛望江南,M?o-b?ng-kang-l?m
假含羞草,山扁豆,Suann-p?nn-t?u
假含羞草,茶豆,T?-t?u
假含羞草,黃爪香,N?g-ji?u-hiong
假含羞草,山肉豆,Suann-bah-t?u
大葉假含羞草,大葉山扁豆,Tu?-hio?h-suann-p?nn-t?u
大葉假含羞草,大葉山肉豆,Tu?-hio?h-suann-bah-t?u
望江南,羊角豆,?unn-kak-t?u
鐵刀木,鐵刀木,Thih-to-bo?k
黃槐,金鳳,Kim-h?ng
決明,大號山塗豆,Tu?-h?-suann-th?o-t?u
山珠豆,山珠豆,Suann-tsu-t?u
蝙蝠草,東埔羅瑞草,Tang-poo-l?-su?-tsh?u
蝙蝠草,飛機草,Hui-ki-tsh?u
蝙蝠草,蝙蝠草,Pi?n-hok-tsh?u
舖地蝙蝠草,羅瑞草,L?-su?-tsh?u
鷹嘴豆,雞豆,Ke-t?u
蝶豆,羊豆,?unn-t?u
鐘萼豆,舞草,B?-tsh?u
圓葉野百花,針葉鈴豆,Tsiam-hio?h-l?ng-t?u
響鈴豆,響鈴豆,Hi?ng-l?ng-t?u
響鈴豆,黃花地丁,N?g-hue-t?-ting
響鈴豆,狗響鈴,K?u-hi?ng-l?ng
黃豬屎豆,三尖葉豬屎豆,Sann-tsiam-hio?h-ti-s?i-t?u
黃豬屎豆,黃豬屎豆,N?g-ti-s?i-t?u
大豬屎豆,大豬屎青,Tu?-ti-s?i-tshenn
大豬屎豆,大豬屎豆,Tu?-ti-s?i-t?u
長萼野百合,大豬屎青,Tu?-ti-s?i-tshenn
假地藍,荷豬草,H?-ti-tsh?u
假地藍,野花生,I?-hue-sinn
假地藍,假地藍,K?-t?-n?
黃野百合,白馬屎,Pe?h-b?-s?i
黃野百合,戇戇草,G?ng-g?ng-tsh?u
黃野百合,豬屎青,Ti-s?i-tshenn
黃野百合,白豬屎豆,Pe?h-ti-s?i-t?u
黃野百合,黃豬屎豆,N?g-ti-s?i-t?u
黃野百合,豬屎豆,Ti-s?i-t?u
野百合,金鳳花,Kim-h?ng-hue
野百合,野百合,I?-pik-ha?p
鵝鸞鼻野百合,野百合,I?-pik-ha?p
紫花野百合,野百合,I?-pik-ha?p
紫花野百合,大野百合,Tu?-i?-pik-ha?p
紫花野百合,大號玲瑯草,Tu?-h?-lin-long-tsh?u
紫花野百合,紫花野百合,Ts?-hue-i?-pik-ha?p
大葉野百合,大葉野百合,Tu?-hio?h-i?-pik-ha?p
南美豬屎豆,光萼野百合,Kng-go?k-i?-pik-ha?p
南美豬屎豆,豬屎豆,Ti-s?i-t?u
藤黃檀,蔓黃檀,B?n-n?g-tu?nn
藤黃檀,金合歡,Kim-ha?p-huan
藤黃檀,囝孫藤,Ki?nn-sun-t?n
印度黃檀,印度檀,?n-t?o-tu?nn
印度黃檀,茶檀,T?-tu?nn
鳳凰木,鳳凰木,H?ng-h?ng-bo?k
鳳凰木,鳳凰樹,H?ng-h?ng-tsh?u
鳳凰木,火樹,Hu?-tsh?u
假木豆,山豆根,Suann-t?u-kin
白木蘇花,白古蘇花,Pe?h-k?o-soo-hue
白木蘇花,胡蠅翼,H?o-s?n-si?t
疏花魚藤,蘆藤,L?o-t?n
魚藤,毒魚藤,Th?u-h?-t?n
魚藤,蘆藤,L?o-t?n
頭花山螞蝗,味噌草,B?-soh-tsh?u
頭花山螞蝗,金腰帶,Kim-io-tu?
頭花山螞蝗,拿身草,N?-sin-tsh?u
頭花山螞蝗,茉仔草,Bua?h-?-tsh?u
頭花山螞蝗,茉草,Bua?h-tsh?u
假地豆,大本山塗豆,Tu?-p?n-suann-th?o-t?u
假地豆,白釣竿,Pe?h-ti?-kuann
變葉山螞蝗,月兔耳,Gue?h-th?o-h?nn
琉球山螞蝗,草本白馬屎,Tsh?u-p?n-pe?h-b?-s?i
多花山螞蝗,野黃豆,I?-n?g-t?u
